m,n,k
75,4096,512
438,4096,512
101,4096,512
586,4096,512
113,4096,512
1935,4096,512
66,4096,512
638,4096,512
63,4096,512
147,4096,512
548,4096,512
94,4096,512
84,4096,512
455,4096,512
80,4096,512
164,4096,512
2048,24,16384
93,4096,512
446,4096,512
1911,1024,4096
374,4096,512
482,4096,512
81,4096,512
395,4096,512
315,4096,512
204,4096,512
541,4096,512
1944,4096,512
212,4096,512
124,4096,512
195,4096,512
388,4096,512
516,4096,512
143,4096,512
821,1024,4096
600,4096,512
768,4096,512
299,4096,512
266,4096,512
592,4096,512
186,4096,512
585,4096,512
110,4096,512
261,4096,512
537,4096,512
1331,1024,4096
144,4096,512
170,4096,512
166,4096,512
100,4096,512
464,4096,512
444,4096,512
494,4096,512
701,4096,512
7,4096,512
153,4096,512
182,4096,512
225,4096,512
1503,1024,4096
397,4096,512
142,4096,512
119,4096,512
248,4096,512
103,4096,512
506,4096,512
228,4096,512
510,4096,512
669,1024,4096
70,4096,512
317,4096,512
1935,1024,4096
1412,1024,4096
169,4096,512
288,4096,512
305,4096,512
330,4096,512
325,4096,512
767,1024,4096
401,4096,512
354,4096,512
8,4096,512
210,4096,512
256,4096,512
196,4096,512
379,4096,512
152,4096,512
320,4096,512
612,4096,512
1371,1024,4096
255,4096,512
345,4096,512
194,4096,512
468,4096,512
97,4096,512
310,4096,512
290,4096,512
384,4096,512
95,4096,512
226,4096,512
321,4096,512
1488,4096,512
504,4096,512
112,4096,512
285,4096,512
338,4096,512
594,4096,512
1514,4096,512
141,4096,512
376,4096,512
155,4096,512
447,4096,512
190,4096,512
1389,4096,512
936,4096,512
526,4096,512
1938,1024,4096
619,4096,512
514,4096,512
487,4096,512
43,1024,4096
323,4096,512
168,4096,512
314,4096,512
1446,1024,4096
749,4096,512
252,4096,512
205,4096,512
567,4096,512
233,1024,4096
423,4096,512
129,4096,512
368,4096,512
118,4096,512
130,4096,512
1543,1024,4096
1317,1024,4096
1309,1024,4096
372,4096,512
642,4096,512
193,4096,512
1389,1024,4096
355,4096,512
201,4096,512
173,4096,512
146,4096,512
1013,1024,4096
358,4096,512
289,4096,512
280,4096,512
434,4096,512
241,1024,4096
1516,1024,4096
471,4096,512
230,4096,512
974,4096,512
992,1024,4096
432,4096,512
107,4096,512
53,1024,4096
120,4096,512
86,4096,512
445,4096,512
1002,1024,4096
818,1024,4096
760,1024,4096
221,4096,512
473,1024,4096
360,4096,512
125,4096,512
117,1024,4096
180,4096,512
85,1024,4096
67,1024,4096
184,4096,512
207,4096,512
410,4096,512
89,4096,512
416,4096,512
187,4096,512
75,1024,4096
240,4096,512
65,1024,4096
121,1024,4096
431,4096,512
744,1024,4096
111,4096,512
158,4096,512
974,1024,4096
104,1024,4096
1911,4096,512
387,4096,512
272,4096,512
2048,256,4096
132,4096,512
1026,4096,512
1996,1024,4096
68,1024,4096
78,4096,512
36,1024,4096
392,4096,512
34,1024,4096
872,1024,4096
127,4096,512
114,4096,512
962,1024,4096
342,4096,512
175,4096,512
203,4096,512
244,4096,512
316,4096,512
33,1024,4096
234,4096,512
57,1024,4096
139,4096,512
474,4096,512
99,1024,4096
369,1024,4096
6,4096,512
134,4096,512
328,4096,512
60,1024,4096
590,4096,512
122,4096,512
749,1024,4096
214,1024,4096
1279,4096,512
186,1024,4096
293,4096,512
1393,1024,4096
39,1024,4096
188,4096,512
216,4096,512
2,1024,4096
56,1024,4096
64,1024,4096
59,1024,4096
83,1024,4096
138,1024,4096
133,4096,512
815,1024,4096
45,1024,4096
634,1024,4096
219,4096,512
768,1024,4096
898,1024,4096
87,1024,4096
596,1024,4096
92,1024,4096
274,4096,512
195,1024,4096
270,4096,512
71,1024,4096
58,1024,4096
179,4096,512
218,4096,512
581,4096,512
324,4096,512
284,4096,512
37,1024,4096
462,1024,4096
364,4096,512
172,4096,512
90,1024,4096
102,4096,512
497,4096,512
406,4096,512
109,1024,4096
69,1024,4096
374,1024,4096
3,4096,512
2,4096,512
42,1024,4096
312,4096,512
417,1024,4096
82,1024,4096
54,1024,4096
637,4096,512
74,1024,4096
137,4096,512
224,4096,512
182,1024,4096
161,1024,4096
541,1024,4096
546,4096,512
546,1024,4096
1509,1024,4096
113,1024,4096
701,1024,4096
642,1024,4096
77,1024,4096
313,4096,512
150,1024,4096
1503,4096,512
258,4096,512
333,4096,512
1279,1024,4096
658,1024,4096
231,4096,512
839,4096,512
194,1024,4096
1887,4096,512
657,1024,4096
282,4096,512
716,1024,4096
55,1024,4096
148,1024,4096
47,1024,4096
311,4096,512
114,1024,4096
641,1024,4096
38,1024,4096
294,1024,4096
255,1024,4096
375,4096,512
128,4096,512
44,1024,4096
761,1024,4096
176,4096,512
399,4096,512
312,1024,4096
215,1024,4096
236,1024,4096
567,1024,4096
98,1024,4096
215,4096,512
62,1024,4096
237,4096,512
124,1024,4096
932,1024,4096
28,1024,4096
35,1024,4096
615,1024,4096
456,4096,512
521,4096,512
402,1024,4096
171,1024,4096
48,1024,4096
638,1024,4096
750,4096,512
131,4096,512
61,1024,4096
91,1024,4096
612,1024,4096
572,4096,512
351,4096,512
79,1024,4096
482,1024,4096
299,1024,4096
156,4096,512
176,1024,4096
3,1024,4096
586,1024,4096
93,1024,4096
51,1024,4096
469,4096,512
582,1024,4096
1337,1024,4096
594,1024,4096
84,1024,4096
32,1024,4096
742,4096,512
123,4096,512
41,1024,4096
419,4096,512
214,4096,512
50,1024,4096
126,4096,512
30,1024,4096
73,1024,4096
135,1024,4096
860,1024,4096
49,1024,4096
582,4096,512
26,1024,4096
404,4096,512
185,4096,512
1769,4096,512
94,1024,4096
385,4096,512
279,1024,4096
96,1024,4096
4,1024,4096
245,4096,512
81,1024,4096
66,1024,4096
108,1024,4096
1494,1024,4096
145,1024,4096
442,4096,512
462,4096,512
160,1024,4096
164,1024,4096
401,1024,4096
7,1024,4096
223,4096,512
403,1024,4096
140,1024,4096
300,4096,512
132,1024,4096
464,1024,4096
434,1024,4096
581,1024,4096
294,4096,512
487,1024,4096
387,1024,4096
1488,1024,4096
463,4096,512
88,1024,4096
227,4096,512
97,1024,4096
261,1024,4096
110,1024,4096
512,1024,4096
302,1024,4096
151,1024,4096
72,1024,4096
425,4096,512
366,4096,512
1026,1024,4096
776,1024,4096
208,4096,512
494,1024,4096
722,1024,4096
403,4096,512
742,1024,4096
11,1024,4096
447,1024,4096
27,1024,4096
202,4096,512
52,1024,4096
345,1024,4096
260,1024,4096
212,1024,4096
228,1024,4096
46,1024,4096
76,1024,4096
364,1024,4096
101,1024,4096
29,1024,4096
358,1024,4096
410,1024,4096
120,1024,4096
219,1024,4096
1871,4096,512
198,4096,512
63,1024,4096
380,4096,512
178,1024,4096
201,1024,4096
248,1024,4096
1305,1024,4096
8,1024,4096
597,1024,4096
167,4096,512
310,1024,4096
399,1024,4096
143,1024,4096
458,1024,4096
100,1024,4096
13,1024,4096
70,1024,4096
162,4096,512
40,1024,4096
1315,1024,4096
371,4096,512
827,4096,512
166,1024,4096
181,4096,512
334,4096,512
12,1024,4096
174,4096,512
129,1024,4096
1280,1024,4096
169,1024,4096
31,1024,4096
416,1024,4096
6,1024,4096
662,1024,4096
515,1024,4096
5,1024,4096
106,1024,4096
315,1024,4096
183,4096,512
590,1024,4096
159,1024,4096
510,1024,4096
21,1024,4096
95,1024,4096
218,1024,4096
136,1024,4096
343,4096,512
111,1024,4096
278,4096,512
301,1024,4096
619,1024,4096
1395,1024,4096
569,1024,4096
288,1024,4096
14,1024,4096
981,1024,4096
222,1024,4096
184,1024,4096
262,4096,512
1,32320,4096
572,1024,4096
376,1024,4096
992,4096,512
217,4096,512
23,1024,4096
272,1024,4096
5,4096,512
105,1024,4096
323,1024,4096
521,1024,4096
147,1024,4096
338,1024,4096
281,4096,512
80,1024,4096
381,1024,4096
4,4096,512
327,1024,4096
207,1024,4096
78,1024,4096
781,1024,4096
119,1024,4096
107,1024,4096
423,1024,4096
330,1024,4096
270,1024,4096
122,1024,4096
445,1024,4096
115,4096,512
1285,1024,4096
203,1024,4096
319,4096,512
406,1024,4096
333,1024,4096
1342,1024,4096
116,1024,4096
103,1024,4096
991,1024,4096
1032,1024,4096
341,4096,512
142,1024,4096
144,1024,4096
230,1024,4096
321,1024,4096
242,4096,512
245,1024,4096
651,1024,4096
25,1024,4096
957,1024,4096
1350,1024,4096
444,1024,4096
211,1024,4096
342,1024,4096
516,1024,4096
89,1024,4096
316,1024,4096
152,1024,4096
9,1024,4096
320,1024,4096
22,1024,4096
127,1024,4096
411,1024,4096
134,1024,4096
327,4096,512
432,1024,4096
850,1024,4096
204,1024,4096
86,1024,4096
876,1024,4096
153,1024,4096
1496,1024,4096
10,1024,4096
208,1024,4096
385,1024,4096
198,1024,4096
492,4096,512
826,1024,4096
157,1024,4096
170,1024,4096
280,1024,4096
224,1024,4096
328,1024,4096
446,1024,4096
790,1024,4096
2048,500,128
155,1024,4096
266,1024,4096
311,1024,4096
839,1024,4096
102,1024,4096
128,1024,4096
133,1024,4096
723,1024,4096
225,1024,4096
455,1024,4096
384,1024,4096
256,1024,4096
247,1024,4096
750,1024,4096
252,1024,4096
24,1024,4096
112,1024,4096
380,1024,4096
244,1024,4096
209,4096,512
206,4096,512
730,1024,4096
19,1024,4096
360,1024,4096
137,1024,4096
15,1024,4096
289,1024,4096
242,1024,4096
240,1024,4096
372,1024,4096
442,1024,4096
700,1024,4096
498,1024,4096
189,4096,512
179,1024,4096
456,1024,4096
313,1024,4096
20,1024,4096
283,1024,4096
18,1024,4096
17,1024,4096
334,1024,4096
192,4096,512
366,1024,4096
196,1024,4096
438,1024,4096
791,1024,4096
175,1024,4096
202,1024,4096
205,1024,4096
425,1024,4096
146,1024,4096
290,1024,4096
234,1024,4096
592,1024,4096
519,1024,4096
368,1024,4096
190,1024,4096
174,1024,4096
216,1024,4096
600,1024,4096
285,1024,4096
246,4096,512
475,1024,4096
154,1024,4096
130,1024,4096
341,1024,4096
226,1024,4096
355,1024,4096
162,1024,4096
187,1024,4096
168,1024,4096
191,4096,512
173,1024,4096
16,1024,4096
1799,4096,512
118,1024,4096
267,1024,4096
476,1024,4096
250,1024,4096
172,1024,4096
375,1024,4096
471,1024,4096
210,1024,4096
141,1024,4096
125,1024,4096
237,1024,4096
537,1024,4096
116,4096,512
183,1024,4096
115,1024,4096
379,1024,4096
382,4096,512
419,1024,4096
199,1024,4096
404,1024,4096
259,1024,4096
1988,1024,4096
221,1024,4096
189,1024,4096
227,1024,4096
356,4096,512
431,1024,4096
211,4096,512
139,1024,4096
123,1024,4096
492,1024,4096
283,4096,512
388,1024,4096
382,1024,4096
180,1024,4096
356,1024,4096
392,1024,4096
343,1024,4096
340,4096,512
181,1024,4096
167,1024,4096
158,1024,4096
314,1024,4096
156,1024,4096
192,1024,4096
300,1024,4096
278,1024,4096
281,1024,4096
251,1024,4096
637,1024,4096
274,1024,4096
149,1024,4096
131,1024,4096
200,1024,4096
666,1024,4096
191,1024,4096
519,4096,512
275,1024,4096
351,1024,4096
223,1024,4096
263,1024,4096
220,1024,4096
206,1024,4096
827,1024,4096
217,1024,4096
504,1024,4096
188,1024,4096
197,4096,512
497,1024,4096
936,1024,4096
185,1024,4096
231,1024,4096
193,1024,4096
1845,4096,512
397,1024,4096
1584,4096,512
243,1024,4096
126,1024,4096
389,1024,4096
354,1024,4096
1259,4096,512
197,1024,4096
259,4096,512
247,4096,512
1952,1024,4096
2048,64,4096
